name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Garrett Wilson,WR,2022,Ohio St.,00-0037740,2022-04-30,,,,,,
Chris Olave,WR,2022,Ohio St.,00-0037239,2022-04-30,,,,,,
Jameson Williams,WR,2022,Alabama,00-0037240,2022-04-30,,,,,,
Jahan Dotson,WR,2022,Penn St.,00-0037741,2022-04-30,,,,,,
Treylon Burks,WR,2022,Arkansas,00-0037742,2022-04-30,,,,,,
Christian Watson,WR,2022,North Dakota St.,00-0038124,2022-04-30,,,,,,
Wan'Dale Robinson,WR,2022,Kentucky,00-0038117,2022-04-30,,,,,,
John Metchie,WR,2022,Alabama,00-0037614,2022-04-30,,,,,,
Tyquan Thornton,WR,2022,Baylor,00-0038104,2022-04-30,,,,,,
George Pickens,WR,2022,Georgia,00-0037247,2022-04-30,,,,,,
Alec Pierce,WR,2022,Cincinnati,00-0037664,2022-04-30,,,,,,
Skyy Moore,WR,2022,Western Michigan,00-0038090,2022-04-30,,,,,,
Velus Jones Jr.,WR,2022,Tennessee,00-0037745,2022-04-30,,,,,,
Jalen Tolbert,WR,2022,South Alabama,00-0037666,2022-04-30,,,,,,
David Bell,WR,2022,Purdue,00-0037257,2022-04-30,,,,,,
Danny Gray,WR,2022,SMU,00-0037828,2022-04-30,,,,,,
Erik Ezukanma,WR,2022,Texas Tech,00-0038092,2022-04-30,,,,,,
Romeo Doubs,WR,2022,Nevada,00-0037816,2022-04-30,,,,,,
Calvin Austin III,WR,2022,Memphis,00-0037837,2022-04-30,,,,,,
Khalil Shakir,WR,2022,Boise St.,00-0037261,2022-04-30,,,,,,
Montrell Washington,WR,2022,Samford,00-0037272,2022-04-30,,,,,,
Kyle Philips,WR,2022,UCLA,00-0037273,2022-04-30,,,,,,
Jalen Nailor,WR,2022,Michigan St.,00-0037291,2022-04-30,,,,,,
Michael Woods II,WR,2022,Oklahoma,00-0037300,2022-04-30,,,,,,
Mike Woods,WR,2022,Oklahoma,WoodMi00,2022-04-30,,,,,,
Bo Melton,WR,2022,Rutgers,00-0037091,2022-04-30,,,,,,
Dareke Young,WR,2022,Lenoir-Rhyne,00-0037093,2022-04-30,,,,,,
Samori Toure,WR,2022,Nebraska,00-0037098,2022-04-30,,,,,,
Bijan Robinson,RB,2023,Texas,00-0038542,2023-04-30,,,,,,
Jahmyr Gibbs,RB,2023,Alabama,00-0039139,2023-04-30,,,,,,
Zach Charbonnet,RB,2023,UCLA,00-0039165,2023-04-30,,,,,,
Kendre Miller,RB,2023,TCU,00-0038551,2023-04-30,,,,,,
Tyjae Spears,RB,2023,Tulane,00-0039032,2023-04-30,,,,,,
De'Von Achane,RB,2023,Texas A&M,00-0039040,2023-04-30,,,,,,
Tank Bigsby,RB,2023,Auburn,00-0038555,2023-04-30,,,,,,
Roschon Johnson,RB,2023,Texas,00-0039021,2023-04-30,,,,,,
Israel Abanikanda,RB,2023,Pittsburgh,00-0038389,2023-04-30,,,,,,
Chase Brown,RB,2023,Illinois,00-0038597,2023-04-30,,,,,,
