name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Elic Ayomanor,WR,2025,Stanford,00-0040170,2025-04-30,4,136,TEN,0.194,0.194,0.966,1.0699999999999998,1.174,-0.964,-0.964,-0.964,,,,0.36209150326797385,22,,,26.445945945945947,106.01451615146095,0.8633,80,69.25,,,,5.25,
Jordan Watkins,WR,2025,Mississippi,00-0040172,2025-04-30,4,138,SFO,0.161,0.166,1.009,0.8817999999999999,1.009,0.397,0.911,2.866,,,,0.19864064898048672,23,,,,,0.863,85,77.16666666666667,0.008729812309035356,,,4.083333333333333,
KeAndre Lambert-Smith,WR,2025,Auburn,00-0040184,2025-04-30,5,158,LAC,,,,,,,,,,,,,23,,,25.064740101332333,104.19763186926541,0.9198,,,,,,,
Tory Horton,WR,2025,Colorado St.,00-0040648,2025-04-30,5,166,SEA,0.161,0.225,1.196,0.9846,1.196,-1.156,0.05049999999999999,1.257,,,,0.11745919091554294,22,,,24.495644444444444,103.64102731064271,0.8089,65,29.416666666666668,0.009773434029320302,,,2.0833333333333335,
LaJohntay Wester,WR,2025,Colorado,00-0040075,2025-04-30,6,203,BAL,0.151,0.337,1.116,0.7036,1.116,-1.089,-0.18159999999999998,0.234,,,,0.22520561199806483,23,,,23.385510204081633,82.3906947895119,,55,77.58333333333333,0,,,6.166666666666667,
Jimmy Horn,WR,2025,Colorado,00-0040218,2025-04-30,6,208,CAR,0.107,0.178,0.809,0.658,0.809,-0.288,-0.12300000000000001,0.59,,,,0.10667634252539913,22,,,26.45371972318339,87.95080302684092,0.8622,65,37,0.003468208092485549,,,3.0833333333333335,
Tez Johnson,WR,2025,Oregon,00-0040237,2025-04-30,7,235,TAM,0.207,0.207,0.984,0.806375,1.201,-0.801,0.17357142857142854,1.408,,,,0.22949143879376438,23,,,22.094285714285714,74.44654528547949,0.8417,65,69,-0.0004476275738585497,,,6.384615384615385,
Ricky White,WR,2025,UNLV,00-0040653,2025-04-30,7,238,SEA,0.259,0.279,1.098,0.8347500000000001,1.098,-0.853,-1.1466666666666665,-0.687,,,,0.4306992139015308,23,,,24.273221992869207,81.47870486647932,0.8897,100,80.15384615384616,0.0002881014116969173,,,6.076923076923077,
Kaden Prather,WR,2025,Maryland,PratKa00,2025-04-30,7,240,BUF,0.117,0.158,0.796,0.8760000000000001,1.331,-0.801,-1.0886666666666667,-0.801,,,,0.18863361547763,23,,,24.82894736842105,103.1147345831928,0.9128,85,51.916666666666664,-0.0007374631268436578,,,4.666666666666667,
Konata Mumpfield,WR,2025,Pittsburgh,00-0040590,2025-04-30,7,242,LAR,0.11,0.213,1.245,0.85475,1.245,0.91,0.65,0.91,,,,0.23449668301124893,22,,,25.938901011704026,83.80929699298603,0.8081,55,67.75,,,,4.333333333333333,
Dominic Lovett,WR,2025,Georgia,00-0040241,2025-04-30,7,244,DET,0.149,0.18,0.557,0.66175,1.069,-2.011,-0.5083333333333334,1.143,,,,0.15359311740890688,22,,,26.541836734693877,98.71678847073285,0.8986,100,46.69230769230769,,,,4.538461538461538,
Junior Bergen,WR,2025,Montana,00-0040247,2025-04-30,7,252,SFO,0.159,0.164,0.602,0.7113333333333333,0.905,-0.529,-0.2306666666666667,0.353,,,,0.18741355463347165,,,,,,,,38.857142857142854,0.0007482229704451926,,,3.4285714285714284,
Jeremiyah Love,RB,2026,Notre Dame,LOV121782,2026-04-30,1,3,ARI,0.099,0.099,0.584,0.532,0.714,0.155,0.16933333333333334,0.293,,,,0.0914733747141457,21,,,,,0.9634,,137.66666666666666,0.5550161812297735,,,2.25,
Jadarian Price,RB,2026,Notre Dame,PRI206342,2026-04-30,1,32,SEA,0.018,0.018,1.316,0.7646666666666667,1.316,0.144,0.157,0.175,,,,0.028422084286180985,22,,,,,0.9207,,63.416666666666664,0.2726537216828479,,,0.5,
Kaelon Black,RB,2026,Indiana,BLA097235,2026-04-30,3,90,SFO,0.01,0.063,0.202,0.584,1.015,0.097,0.029250000000000005,0.193,,,,0.009409304756926294,24,,,,,0.8117,65,82.6923076923077,0.2979638657872096,,,0.3076923076923077,
Jonah Coleman,RB,2026,Washington,COL293648,2026-04-30,4,108,DEN,0.093,0.093,0.858,0.347,0.858,0.216,0.20725,0.364,,,,0.11139081183134046,23,,,,,0.8848,80,92.66666666666667,0.3450159308147474,,,2.5833333333333335,
Mike Washington Jr.,RB,2026,Arkansas,WAS797326,2026-04-30,4,122,LVR,,,,,,,,,,,,,23,,,,,0.7956,,,,,,,
Emmett Johnson,RB,2026,Nebraska,JOH224817,2026-04-30,5,161,KAN,0.161,0.161,0.107,0.25233333333333335,0.42,0.186,0.12966666666666668,0.186,,,,0.1267123287671233,22,,,,,0.8641,100,151.75,0.7483238782877772,,,3.8333333333333335,
Nicholas Singleton,RB,2026,Penn St.,SingNi01,2026-04-30,5,165,TEN,0.105,0.114,0.258,0.37325,0.685,0.117,0.15175,0.284,,,,0.0897908979089791,22,,,,,,100,64,0.24110671936758893,,,2,
Adam Randall,RB,2026,Clemson,RAN022436,2026-04-30,5,174,BAL,0.101,0.101,0.145,0.30374999999999996,0.384,0.098,0.239,0.38,,,,0.07296753806377478,22,,,,,0.9549,85,89,0.5021591610117212,,,3,
Kaytron Allen,RB,2026,Penn St.,ALL532376,2026-04-30,6,187,WAS,0.062,0.062,0.007,0.28075,0.594,0.217,0.172,0.225,,,,0.02788027880278803,23,,,,,0.9385,100,114.25,0.5722441809398331,,,1.5,
