name,position,class_year,school,external_id,scoring_date,target_share
Kyle Philips,WR,2022,UCLA,00-0037273,2022-04-30,0.2744186046511628
Jalen Nailor,WR,2022,Michigan St.,00-0037291,2022-04-30,0.145985401459854
Michael Woods II,WR,2022,Oklahoma,00-0037300,2022-04-30,0.1393188854489164
Mike Woods,WR,2022,Oklahoma,WoodMi00,2022-04-30,
Bo Melton,WR,2022,Rutgers,00-0037091,2022-04-30,0.25190839694656486
Dareke Young,WR,2022,Lenoir-Rhyne,00-0037093,2022-04-30,
Samori Toure,WR,2022,Nebraska,00-0037098,2022-04-30,0.22983870967741934
Bijan Robinson,RB,2023,Texas,00-0038542,2023-04-30,0.09539473684210527
Jahmyr Gibbs,RB,2023,Alabama,00-0039139,2023-04-30,0.15249266862170088
Zach Charbonnet,RB,2023,UCLA,00-0039165,2023-04-30,0.14705882352941177
Kendre Miller,RB,2023,TCU,00-0038551,2023-04-30,0.06325301204819277
Tyjae Spears,RB,2023,Tulane,00-0039032,2023-04-30,0.08846153846153847
De'Von Achane,RB,2023,Texas A&M,00-0039040,2023-04-30,0.15467625899280577
Tank Bigsby,RB,2023,Auburn,00-0038555,2023-04-30,0.17708333333333334
Roschon Johnson,RB,2023,Texas,00-0039021,2023-04-30,0.049342105263157895
Israel Abanikanda,RB,2023,Pittsburgh,00-0038389,2023-04-30,0.06140350877192982
Chase Brown,RB,2023,Illinois,00-0038597,2023-04-30,0.10135135135135136
Eric Gray,RB,2023,Oklahoma,00-0038396,2023-04-30,0.11538461538461539
Evan Hull,RB,2023,Northwestern,00-0038397,2023-04-30,0.19215686274509805
Chris Rodriguez,RB,2023,Kentucky,00-0038611,2023-04-30,0.030973451327433628
Deuce Vaughn,RB,2023,Kansas St.,00-0038622,2023-04-30,0.1875
Zach Evans,RB,2023,Mississippi,00-0039136,2023-04-30,0.044
DeWayne McBride,RB,2023,Ala-Birmingham,00-0039046,2023-04-30,0.016483516483516484
Lew Nichols,RB,2023,Central Michigan,00-0038409,2023-04-30,0.0880281690140845
Kenny McIntosh,RB,2023,Georgia,00-0038636,2023-04-30,0.10857142857142857
Jaxon Smith-Njigba,WR,2023,Ohio St.,00-0038543,2023-04-30,0.02556818181818182
Quentin Johnston,WR,2023,TCU,00-0038544,2023-04-30,0.22289156626506024
Zay Flowers,WR,2023,Boston Col.,00-0039064,2023-04-30,0.296028880866426
Jordan Addison,WR,2023,USC,00-0038994,2023-04-30,0.21008403361344538
Jonathan Mingo,WR,2023,Mississippi,00-0039062,2023-04-30,0.236
Jayden Reed,WR,2023,Michigan St.,00-0039146,2023-04-30,0.20454545454545456
Rashee Rice,WR,2023,SMU,00-0039067,2023-04-30,0.30625
Marvin Mims,WR,2023,Oklahoma,00-0038976,2023-04-30,0.22692307692307692
Tank Dell,WR,2023,Houston,00-0038977,2023-04-30,
Nathaniel Dell,WR,2023,Houston,DellNa00,2023-04-30,
Jalin Hyatt,WR,2023,Tennessee,00-0038938,2023-04-30,0.24057971014492754
Cedric Tillman,WR,2023,Tennessee,00-0038979,2023-04-30,0.16231884057971013
Josh Downs,WR,2023,North Carolina,00-0038997,2023-04-30,0.2616136919315403
Michael Wilson,WR,2023,Stanford,00-0038559,2023-04-30,0.09508196721311475
Tre Tucker,WR,2023,Cincinnati,00-0038563,2023-04-30,0.22093023255813954
Derius Davis,WR,2023,TCU,00-0038573,2023-04-30,0.14759036144578314
Charlie Jones,WR,2023,Purdue,00-0038576,2023-04-30,0.3059490084985836
Tyler Scott,WR,2023,Cincinnati,00-0038941,2023-04-30,0.2364341085271318
Justin Shorter,WR,2023,Florida,00-0038590,2023-04-30,
Dontayvion Wicks,WR,2023,Virginia,00-0038393,2023-04-30,0.19927536231884058
Puka Nacua,WR,2023,BYU,00-0039075,2023-04-30,0.1417004048582996
Parker Washington,WR,2023,Penn St.,00-0038606,2023-04-30,0.17684887459807075
Kayshon Boutte,WR,2023,LSU,00-0038608,2023-04-30,0.18128654970760233
Trey Palmer,WR,2023,Nebraska,00-0039052,2023-04-30,0.3424124513618677
A.T. Perry,WR,2023,Wake Forest,00-0038612,2023-04-30,0.2776203966005666
Elijah Higgins,WR,2023,Stanford,00-0039041,2023-04-30,0.21967213114754097
Xavier Hutchinson,WR,2023,Iowa St.,00-0038618,2023-04-30,0.329608938547486
Andrei Iosivas,WR,2023,Princeton,00-0038619,2023-04-30,
DeMario Douglas,WR,2023,Liberty,00-0038621,2023-04-30,0.32242990654205606
Antoine Green,WR,2023,North Carolina,00-0038627,2023-04-30,0.1491442542787286
Colton Dowell,WR,2023,UT Martin,00-0038632,2023-04-30,
Jalen Brooks,WR,2023,South Carolina,00-0038640,2023-04-30,0.14388489208633093
Ronnie Bell,WR,2023,Michigan,00-0038647,2023-04-30,0.27491408934707906
Grant Dubose,WR,2023,Charlotte,00-0038507,2023-04-30,0.23293172690763053
Jonathon Brooks,RB,2024,Texas,00-0039344,2024-04-30,0.0707070707070707
Trey Benson,RB,2024,Florida St.,00-0039921,2024-04-30,0.05929919137466307
Blake Corum,RB,2024,Michigan,00-0039738,2024-04-30,0.056291390728476824
MarShawn Lloyd,RB,2024,USC,00-0039811,2024-04-30,0.040345821325648415
Jaylen Wright,RB,2024,Tennessee,00-0039874,2024-04-30,0.06
Bucky Irving,RB,2024,Oregon,00-0039361,2024-04-30,
Will Shipley,RB,2024,Clemson,00-0039746,2024-04-30,0.09350649350649351
Ray Davis,RB,2024,Kentucky,00-0039875,2024-04-30,0.13409961685823754
Isaac Guerendo,RB,2024,Louisville,00-0039363,2024-04-30,0.06909090909090909
Braelon Allen,RB,2024,Wisconsin,00-0039794,2024-04-30,0.07692307692307693
Audric Estime,RB,2024,Notre Dame,00-0039373,2024-04-30,0.06666666666666667
Rasheen Ali,RB,2024,Marshall,00-0039796,2024-04-30,0.1059190031152648
Tyrone Tracy Jr.,RB,2024,Purdue,00-0039384,2024-04-30,0.0778688524590164
Keilan Robinson,RB,2024,Texas,00-0039385,2024-04-30,0.022727272727272728
Isaiah Davis,RB,2024,South Dakota St.,00-0039798,2024-04-30,
Kimani Vidal,RB,2024,Troy,00-0039391,2024-04-30,0.05787781350482315
Jase McClellan,RB,2024,Alabama,00-0039393,2024-04-30,0.07063197026022305
Jawhar Jordan,RB,2024,Louisville,00-0039405,2024-04-30,0.07636363636363637
Dylan Laube,RB,2024,New Hampshire,00-0039407,2024-04-30,
Marvin Harrison Jr.,WR,2024,Ohio St.,00-0039849,2024-04-30,0.2635135135135135
Malik Nabers,WR,2024,LSU,00-0039337,2024-04-30,0.34513274336283184
Rome Odunze,WR,2024,Washington,00-0039919,2024-04-30,0.25316455696202533
Brian Thomas,WR,2024,LSU,00-0039893,2024-04-30,0.22123893805309736
Xavier Worthy,WR,2024,Texas,00-0039894,2024-04-30,0.2398989898989899
Ricky Pearsall,WR,2024,Florida,00-0039916,2024-04-30,0.22258064516129034
Xavier Legette,WR,2024,South Carolina,00-0039342,2024-04-30,0.25846153846153846
Keon Coleman,WR,2024,Florida St.,00-0039901,2024-04-30,0.20215633423180593
Ladd McConkey,WR,2024,Georgia,00-0039915,2024-04-30,0.09734513274336283
Ja'Lynn Polk,WR,2024,Washington,00-0039907,2024-04-30,0.18354430379746836
Adonai Mitchell,WR,2024,Texas,00-0039890,2024-04-30,0.19444444444444445
Malachi Corley,WR,2024,Western Kentucky,00-0039920,2024-04-30,0.22627737226277372
Jermaine Burton,WR,2024,Alabama,00-0039810,2024-04-30,0.1895910780669145
Roman Wilson,WR,2024,Michigan,00-0039739,2024-04-30,0.17880794701986755
Jalen McMillan,WR,2024,Washington,00-0039855,2024-04-30,0.12658227848101267
Luke McCaffrey,WR,2024,Rice,00-0039355,2024-04-30,0.2591549295774648
Troy Franklin,WR,2024,Oregon,00-0039868,2024-04-30,0.21890547263681592
Javon Baker,WR,2024,Central Florida,00-0039853,2024-04-30,0.23577235772357724
Devontez Walker,WR,2024,North Carolina,00-0039792,2024-04-30,0.1721311475409836
Jacob Cowing,WR,2024,Arizona,00-0039365,2024-04-30,0.25892857142857145
Anthony Gould,WR,2024,Oregon St.,00-0039816,2024-04-30,0.20675105485232068
Ainias Smith,WR,2024,Texas A&M,00-0039747,2024-04-30,0.1850828729281768
Jamari Thrash,WR,2024,Louisville,00-0039379,2024-04-30,0.2290909090909091
Bub Means,WR,2024,Pittsburgh,00-0039386,2024-04-30,
Jha'Quan Jackson,WR,2024,Tulane,00-0039392,2024-04-30,0.12758620689655173
Malik Washington,WR,2024,Virginia,00-0039880,2024-04-30,0.3903225806451613
Johnny Wilson,WR,2024,Florida St.,00-0039236,2024-04-30,0.15902964959568733
Casey Washington,WR,2024,Illinois,00-0039394,2024-04-30,0.18072289156626506
Tejhaun Palmer,WR,2024,Ala-Birmingham,00-0039397,2024-04-30,0.16558441558441558
Jordan Whittington,WR,2024,Texas,00-0039751,2024-04-30,0.12121212121212122
Ryan Flournoy,WR,2024,SE Missouri St.,00-0039410,2024-04-30,
Brenden Rice,WR,2024,USC,00-0039415,2024-04-30,0.14697406340057637
Devaughn Vele,WR,2024,Utah,00-0039424,2024-04-30,0.245
Tahj Washington,WR,2024,USC,00-0039884,2024-04-30,0.18155619596541786
Cornelius Johnson,WR,2024,Michigan,00-0039437,2024-04-30,0.18543046357615894
