name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Tyler Johnson,WR,2020,Minnesota,00-0036427,2020-04-30,5,161,TAM,0.32,0.324,0.922,0.7352500000000001,0.922,0.78,-0.3265,0.78,,,,0.40024293956878226,22,,,27.175455057234004,,0.9722,100,101.3076923076923,-0.00042643923240938164,,,6.615384615384615,
Collin Johnson,WR,2020,Texas,00-0036254,2020-04-30,5,165,JAX,0.21,0.21,0.62,0.64925,0.783,-1.77,-1.77,-1.77,,,,0.1486306833289019,22,,,25.651873767258383,,0.9225,55,79.85714285714286,,,,5.428571428571429,
Quintez Cephus,WR,2020,Wisconsin,00-0036277,2020-04-30,5,166,DET,0.239,0.239,0.798,1.201,1.481,-0.398,-0.048500000000000015,0.301,,,,0.3215560314061385,22,,,26.647776318258586,80.71175712405854,0.8583,100,64.35714285714286,,,,4.214285714285714,
John Hightower,WR,2020,Boise St.,00-0036398,2020-04-30,5,168,PHI,0.187,0.187,0.474,0.582,0.69,0.12,0.5865,1.053,,,,0.25736899563318777,24,,,24.932820416588477,98.14696963186977,,65,77.28571428571429,0.05937633489961555,,,3.642857142857143,
Isaiah Coulter,WR,2020,Rhode Island,00-0036308,2020-04-30,5,171,HOU,0.211,0.324,0.805,1.1123333333333334,1.802,,,,,,,0.35528596187175043,21,,,25.41891891891892,100.98459823900774,,,102.5,,,,5.5,
Darnell Mooney,WR,2020,Tulane,00-0036309,2020-04-30,5,173,CHI,0.235,0.243,0.385,0.5382499999999999,0.855,0.72,0.289,0.72,,,,0.26614408361328856,22,,,25.250612244897958,95.64146535400026,0.7883,65,54.84615384615385,,,,3.6923076923076925,
K.J. Osborn,WR,2020,Miami (FL),00-0036345,2020-04-30,5,176,MIN,0.159,0.238,0.477,0.46224999999999994,0.585,0.174,0.24266666666666667,0.623,,,,0.16887928372954616,23,,,28.309660781590953,100.78919524701618,0.7852,55,43.23076923076923,0.009683666881859263,,,3.8461538461538463,
Donovan Peoples-Jones,WR,2020,Michigan,00-0036233,2020-04-30,6,187,CLE,0.155,0.183,0.586,0.509,0.726,-1.184,0.016000000000000014,0.617,,,,0.1343146274149034,21,,,27.216216216216218,105.25768173580015,0.9925,100,39.18181818181818,-0.0035478966041561076,,,3.090909090909091,
Quez Watkins,WR,2020,Southern Miss,00-0036271,2020-04-30,6,200,PHI,0.242,0.246,0.817,0.5903333333333333,0.817,-2.975,-1.607,-0.239,,,,0.31296493092454836,22,,,25.087770061728396,103.33434625429842,0.7926,55,98.25,0.000649772579597141,,,5.333333333333333,
James Proche,WR,2020,SMU,00-0036133,2020-04-30,6,201,BAL,0.32,0.32,0.592,0.67475,1.095,0.442,0.37800000000000006,0.795,,,,0.3048780487804878,23,,,28.03074786748661,,0.8703,65,103.58333333333333,0.007669365146996165,,,9.25,
Isaiah Hodgins,WR,2020,Oregon St.,00-0036165,2020-04-30,6,207,BUF,0.285,0.285,0.738,0.7116666666666666,0.986,-0.084,-0.084,-0.084,,,,0.3825547206795165,21,,,25.55921052631579,92.9920001193514,0.9024,80,97.58333333333333,,,,7.166666666666667,
Dezmon Patmon,WR,2020,Washington St.,00-0036228,2020-04-30,6,212,IND,0.117,0.117,0.579,0.7090000000000001,1.171,-2.366,-2.366,-2.366,,,,0.13417855256207079,22,,,27.38486842105263,111.71216221959921,0.84,80,63.5,,,,4.833333333333333,
Freddie Swain,WR,2020,Florida,00-0036247,2020-04-30,6,214,SEA,0.124,0.124,0.854,0.88375,1.648,0.02,0.02,0.02,,,,0.13222506393861894,22,,,26.71508487654321,99.5764838867107,0.9423,100,45.333333333333336,0.015938606847697757,,,3.1666666666666665,
Jauan Jennings,WR,2020,Tennessee,00-0036259,2020-04-30,7,217,SFO,0.233,0.233,0.865,0.5268,0.865,0.087,0.48749999999999993,2.139,,,,0.3366921473245309,23,,,26.87022222222222,86.63641262317762,0.9289,100,85,0.026969857218402962,,,4.916666666666667,
K.J. Hill,WR,2020,Ohio St.,00-0036382,2020-04-30,7,220,LAC,0.174,0.174,0.582,0.6842499999999999,0.97,1.131,-0.1143333333333334,1.131,,,,0.17263843648208468,22,,,26.579475308641975,87.54971573143324,0.933,100,49,0.0002652519893899204,,,4.384615384615385,
Malcolm Perry,WR,2020,Navy,PerrMa00,2020-04-30,7,246,Miami Dolphins,,,,,,,,,,,,,,,,27.464398235664778,80.95039566392657,,,,,,,,
Tyrie Cleveland,WR,2020,Florida,00-0036439,2020-04-30,7,252,DEN,0.077,0.113,0.577,0.6825,0.936,0.526,0.526,0.526,,,,0.089769820971867,22,,,26.83108108108108,105.64205650925145,0.981,100,29.25,,,,2.0833333333333335,
Najee Harris,RB,2021,Alabama,00-0036893,2021-04-30,1,24,PIT,0.127,0.127,0.356,0.2425,0.751,0.246,0.2455,0.268,,,,0.09128006872852233,23,,,,,0.9984,100,171.9090909090909,0.6108333333333333,,,3.909090909090909,
Travis Etienne,RB,2021,Clemson,00-0036973,2021-04-30,1,25,JAX,0.121,0.121,0.659,0.6040000000000001,0.825,0.218,0.38399999999999995,0.484,,,,0.1406025824964132,22,,,30.84591836734694,109.65499303730637,0.9171,85,136.54545454545453,0.4895554365291912,,,4.363636363636363,
Javonte Williams,RB,2021,North Carolina,00-0036997,2021-04-30,2,35,DEN,0.085,0.085,0.776,0.4296666666666667,0.88,0.455,0.37333333333333335,0.494,,,,0.0847457627118644,21,,,31.30350766645663,98.92823708641994,0.8344,85,131.36363636363637,0.3990199509975499,,,2.272727272727273,
Trey Sermon,RB,2021,Ohio St.,00-0036984,2021-04-30,3,88,SFO,0.075,0.075,0.062,0.29050000000000004,0.624,0.315,0.237,0.315,,,,0.04523809523809524,22,,,29.156057098765434,98.58336890820615,0.9233,85,160.83333333333334,0.41567128523650265,,,2,
Michael Carter,RB,2021,North Carolina,00-0036924,2021-04-30,4,107,NYJ,0.085,0.085,0.56,0.3025,0.56,0.373,0.17475000000000002,0.373,,,,0.07418727424284524,22,,,31.47761194029851,98.03383630544124,0.8803,85,137.45454545454547,0.4357717885894295,,,2.272727272727273,
Kene Nwangwu,RB,2021,Iowa St.,00-0036842,2021-04-30,4,119,MIN,0.011,0.011,0.054,-0.036000000000000004,0.054,0.018,0.10900000000000001,0.337,,,,0.007596685082872928,23,,,,,0.845,85,32.81818181818182,0.14401019541206458,,,0.2727272727272727,
Rhamondre Stevenson,RB,2021,Oklahoma,00-0036875,2021-04-30,4,120,NWE,0.124,0.124,0.346,0.4695,0.593,0.273,0.239,0.273,,,,0.0608946608946609,23,,,32.21444157905177,99.67128407061693,,85,87.5,0.3331660812844957,,,1.8,
Chuba Hubbard,RB,2021,Oklahoma St.,00-0036555,2021-04-30,4,126,CAR,0.045,0.079,0.358,0.4146666666666667,0.743,0.156,0.23800000000000002,0.285,,,,0.01977186311787072,22,,,28.47800925925926,104.2646847382926,0.89,85,67.5,0.2905783582089552,,,0.8,
Kenneth Gainwell,RB,2021,Memphis,00-0036919,2021-04-30,5,150,PHI,0.126,0.126,0.845,0.845,0.845,0.183,0.183,0.183,,,,0.14603782619104622,22,,,,105.32633578052365,0.828,65,159.15384615384616,0.5397706252312245,,,3.923076923076923,
Elijah Mitchell,RB,2021,Louisiana,00-0036567,2021-04-30,6,194,SFO,0.071,0.071,0.403,0.6515,1.51,0.257,0.27674999999999994,0.311,,,,0.06681222707423581,23,,,28.83734693877551,109.22690077360258,0.7719,65,103.1,0.35589785164167004,,,1.6,
