name,position,class_year,school,external_id,scoring_date,early_declare
Tyler Scott,WR,2023,Cincinnati,00-0038941,2023-04-30,true
Justin Shorter,WR,2023,Florida,00-0038590,2023-04-30,false
Dontayvion Wicks,WR,2023,Virginia,00-0038393,2023-04-30,false
Puka Nacua,WR,2023,BYU,00-0039075,2023-04-30,false
Parker Washington,WR,2023,Penn St.,00-0038606,2023-04-30,true
Kayshon Boutte,WR,2023,LSU,00-0038608,2023-04-30,true
Trey Palmer,WR,2023,Nebraska,00-0039052,2023-04-30,false
A.T. Perry,WR,2023,Wake Forest,00-0038612,2023-04-30,false
Elijah Higgins,WR,2023,Stanford,00-0039041,2023-04-30,false
Xavier Hutchinson,WR,2023,Iowa St.,00-0038618,2023-04-30,false
Andrei Iosivas,WR,2023,Princeton,00-0038619,2023-04-30,false
DeMario Douglas,WR,2023,Liberty,00-0038621,2023-04-30,true
Antoine Green,WR,2023,North Carolina,00-0038627,2023-04-30,false
Colton Dowell,WR,2023,UT Martin,00-0038632,2023-04-30,false
Jalen Brooks,WR,2023,South Carolina,00-0038640,2023-04-30,false
Ronnie Bell,WR,2023,Michigan,00-0038647,2023-04-30,false
Grant Dubose,WR,2023,Charlotte,00-0038507,2023-04-30,false
Jonathon Brooks,RB,2024,Texas,00-0039344,2024-04-30,true
Trey Benson,RB,2024,Florida St.,00-0039921,2024-04-30,false
Blake Corum,RB,2024,Michigan,00-0039738,2024-04-30,false
MarShawn Lloyd,RB,2024,USC,00-0039811,2024-04-30,false
Jaylen Wright,RB,2024,Tennessee,00-0039874,2024-04-30,true
Bucky Irving,RB,2024,Oregon,00-0039361,2024-04-30,true
Will Shipley,RB,2024,Clemson,00-0039746,2024-04-30,true
Ray Davis,RB,2024,Kentucky,00-0039875,2024-04-30,false
Isaac Guerendo,RB,2024,Louisville,00-0039363,2024-04-30,false
Braelon Allen,RB,2024,Wisconsin,00-0039794,2024-04-30,true
Audric Estime,RB,2024,Notre Dame,00-0039373,2024-04-30,false
Rasheen Ali,RB,2024,Marshall,00-0039796,2024-04-30,false
Tyrone Tracy Jr.,RB,2024,Purdue,00-0039384,2024-04-30,false
Keilan Robinson,RB,2024,Texas,00-0039385,2024-04-30,false
Isaiah Davis,RB,2024,South Dakota St.,00-0039798,2024-04-30,false
Kimani Vidal,RB,2024,Troy,00-0039391,2024-04-30,false
Jase McClellan,RB,2024,Alabama,00-0039393,2024-04-30,false
Jawhar Jordan,RB,2024,Louisville,00-0039405,2024-04-30,false
Dylan Laube,RB,2024,New Hampshire,00-0039407,2024-04-30,false
Marvin Harrison Jr.,WR,2024,Ohio St.,00-0039849,2024-04-30,true
Malik Nabers,WR,2024,LSU,00-0039337,2024-04-30,true
